Camp	Taille	Vaisseau	Unique	Pilote	Coût	Valeur de pilotage	Valeur d'attaque de l'arme principale	Valeur d'agilité	Points de structure	Valeur de bouclier	Energie accumulable	Capacité	Commentaire	Action 1	Action 2	Action 3	Action 4	Amélioration 1	Amélioration 2	Amélioration 3	Amélioration 4	Amélioration 5	Amélioration 6	Amélioration 7	Amélioration 8	Amélioration 9	Amélioration 10	Amélioration 11	Amélioration 12
Empire	Normal	Chasseur TIE	True	"Night Beast"	15	5	2	3	3	0	0	Après avoir exécuté une manœuvre verte, vous pouvez effectuer une action de concentration gratuite.		Concentration	Évasion	Tonneau		Modification	Titre										
Empire	Normal	Chasseur TIE	True	"Winged Gundark"	15	5	2	3	3	0	0	Quand vous attaquez à portée 1, vous pouvez échanger 1 de vos résultats de touche normale contre un résultat de touche critique.		Concentration	Évasion	Tonneau		Modification	Titre										
Empire	Normal	Chasseur TIE	True	"Dark Curse"	16	6	2	3	3	0	0	Quand vous défendez, les vaisseaux qui vous attaquent ne peuvent ni utiliser de marqueurs de concentration ni relancer les dés d'attaque.		Concentration	Évasion	Tonneau		Modification	Titre										
Empire	Normal	Chasseur TIE	True	"Backstabber"	16	6	2	3	3	0	0	Quand vous attaquez en dehors de l'arc de tir du défenseur, lancez 1 dé d'attaque supplémentaire.		Concentration	Évasion	Tonneau		Modification	Titre										
Empire	Normal	Chasseur TIE	True	"Mauler Mithel"	17	7	2	3	3	0	0	Quand vous attaquez à portée 1, lancez un dé d'attaque supplémentaire.		Concentration	Évasion	Tonneau		Modification	Talent	Titre									
Empire	Normal	Chasseur TIE	True	"Howlrunner"	18	8	2	3	3	0	0	Quand un autre vaisseau allié situé à portée 1 attaque avec son arme principale, il peut relancer 1 dé d'attaque.		Concentration	Évasion	Tonneau		Modification	Talent	Titre									
Empire	Normal	Bombardier TIE	False	Pilote de l'escadron Cimeterre	16	2	2	2	6	0	0		L'extrême précision de son ordinateur de visée embarqué permet au bombardier TIE de vérrouiller une cible en évitant d'infliger des dommages collatéraux à la zône environnante.	Acquisition de cible	Concentration	Tonneau		Bombe	Missile	Missile	Modification	Titre	Torpille	Torpille					
Empire	Normal	Bombardier TIE	False	Pilote de l'escadron Gamma	18	4	2	2	6	0	0		Bien qu'ils ne soient pas aussi maniables et rapides que les autres modèles TIE, ces bombardiers ont une puissance de feu suffisante pour détruire à peu près n'importe quelle cible.	Acquisition de cible	Concentration	Tonneau		Bombe	Missile	Missile	Modification	Titre	Torpille	Torpille					
Empire	Normal	Bombardier TIE	True	Capitaine Jonus	22	6	2	2	6	0	0	Quand un autre vaisseau allié situé à portée 1 attaque avec une arme secondaire, il peut relancer jusqu'à deux dés d'attaque.		Acquisition de cible	Concentration	Tonneau		Bombe	Missile	Missile	Modification	Talent	Titre	Torpille	Torpille				
Empire	Normal	Bombardier TIE	True	Major Rhymer	26	7	2	2	6	0	0	Quand vous attaquez avec une arme secondaire, vous pouvez augmenter ou réduire de 1 la portée de l'arme dans une limite de portée comprise entre 1 et 3.		Acquisition de cible	Concentration	Tonneau		Bombe	Missile	Missile	Modification	Talent	Titre	Torpille	Torpille				
Empire	Normal	Intercepteur TIE	False	Pilote de l'escadron Alpha	18	1	3	3	3	0	0		Sienar Fleet Systems a doté les panneaux solaires de l'intercepteur TIE de quatre canons laser qui lui confèrent une puissance de feu bien supérieure à celle des précédents modèles.	Accélération	Concentration	Évasion	Tonneau	Modification	Titre										
Empire	Normal	Intercepteur TIE	False	Pilote de l'escadron Avenger	20	3	3	3	3	0	0		Une vitesse et une manoeuvrabilité accrues confèrenet à l'intercepteur TIE, meilleur chasseur de son époque produit en série, un avantage indéniable au combat.	Accélération	Concentration	Évasion	Tonneau	Modification	Titre										
Empire	Normal	Intercepteur TIE	False	Pilote de l'escadron Sabre	21	4	3	3	3	0	0		Commandés par le baron Soontir Fel, les membres de l'escadron Sabre comptent parmi les meilleurs pilotes de l'Empire. Leurs intercepteurs TIE sont couverts de bandes rouges, réservées aux pilotes qui ont abattu au moins dix adversaires.	Accélération	Concentration	Évasion	Tonneau	Modification	Talent	Titre									
Empire	Normal	Intercepteur TIE	False	Pilote de la Garde royale	22	6	3	3	3	0	0		Seuls les membres de la Garde royale de l'Empereur ont le droit de piloter ces chasseurs écarlates, souvent utilisés pour escorter la navette de leur seigneur, mais également ses leurres.	Accélération	Concentration	Évasion	Tonneau	Modification	Talent	Titre									
Empire	Normal	Intercepteur TIE	True	Lieutenant Lorrir	23	5	3	3	3	0	0	Quand vous effectuez une action de tonneau, vous pouvez recevoir un marqueur de stress pour utiliser le gabarit de "virage sur l'aile 1" à la place du gabarit "en avant 1".		Accélération	Concentration	Évasion	Tonneau	Modification	Titre										
Empire	Normal	Intercepteur TIE	True	"Colère de Fel"	23	5	3	3	3	0	0	Quand le nombre de cartes de dégâts qui vous est assignée est supérieur ou égal à votre valeur de coque, vous n'êtes pas détruit avant la fin de la phase de combat.		Accélération	Concentration	Évasion	Tonneau	Modification	Titre										
Empire	Normal	Intercepteur TIE	True	Tetran Cowall	24	7	3	3	3	0	0	Quand vous révélez une manœuvre de retournement, vous pouvez considérer la vitesse de celle-ci comme de 1, 3 ou 5.		Accélération	Concentration	Évasion	Tonneau	Modification	Talent	Titre									
Empire	Normal	Intercepteur TIE	True	Kir Kanos	24	6	3	3	3	0	0	Quand vous attaquez à une portée comprise entre 2 et 3, vous pouvez dépenser un marqueur d'évasion pour ajouter un résultat de touche normale à votre jet.		Accélération	Concentration	Évasion	Tonneau	Modification	Talent	Titre									
Empire	Normal	Intercepteur TIE	True	Turr Phennir	25	7	3	3	3	0	0	Après avoir effectué une attaque, vous pouvez effectuer une action gratuite d'accélération ou de tonneau.		Accélération	Concentration	Évasion	Tonneau	Modification	Talent	Titre									
Empire	Normal	Intercepteur TIE	True	Carnox Jax	26	8	3	3	3	0	0	Les vaisseaux ennemis situés à portée 1 ne peuvent pas effectuer d'actions de concentration ou d'évasion, et ne peuvent pas dépenser de marqueurs de concentration ou d'évasion.		Accélération	Concentration	Évasion	Tonneau	Modification	Titre										
Empire	Normal	Intercepteur TIE	True	Soontir Fel	27	9	3	3	3	0	0	Quand vous recevez un marqueur de stress, vous pouvez assigner un marqueur de concentration à votre vaisseau.		Accélération	Concentration	Évasion	Tonneau	Modification	Talent	Titre									
Empire	Normal	TIE Punisher	False	Pilote de l'escadron Cutlass	21	2	2	1	6	3	0		Le TIE Punisher fut conçu après le bombardier TIE. Il était pourvu de boucliers, d'une seconde trappe de largage et de trois nacelles d'artiellerie supplémentaires, toutes équipées de moteurs ioniques jumelés.	Accélération	Acquisition de cible	Concentration		Bombe	Bombe	Missile	Missile	Modification	Senseur	Titre	Torpille	Torpille			
Empire	Normal	TIE Punisher	False	Pilote de l'escadron Noir Huit	23	4	2	1	6	3	0		L'escadron Noir Huit, soigneusement sélectionné par Dark Vador en personne, se tailla une sinistre réputation d'implacabilité en bombardant méticuleusement Callos, la rendant inhabitable.	Accélération	Acquisition de cible	Concentration		Bombe	Bombe	Missile	Missile	Modification	Senseur	Titre	Torpille	Torpille			
Empire	Normal	TIE Punisher	True	"Deathrain"	26	6	2	1	6	3	0	Quand vous larguez une bombre, vous pouvez utiliser les glissières avant de votre vaisseau. Après avoir largué une bombe, vous pouvez effectuer une action de tonneau gratuite.		Accélération	Acquisition de cible	Concentration		Bombe	Bombe	Missile	Missile	Modification	Senseur	Titre	Torpille	Torpille			
Empire	Normal	TIE Punisher	True	"Redline"	27	7	2	1	6	3	0	Vous pouvez maintenir 2 acquisitions de cible sur le même vaisseau. Quand vous verrouillez une cible, vous pouvez la verrouiller une seconde fois.		Accélération	Acquisition de cible	Concentration		Bombe	Bombe	Missile	Missile	Modification	Senseur	Titre	Torpille	Torpille			
Empire	Normal	Chasseur avancé TIE X1	False	Pilote de l'escadron Tempest	21	2	2	3	3	2	0		Le TIE Advanced a été produit en série limitée, mais ultérieurement les ingénieurs de Sienar incorporèrent la plus grande partie de ces améliorations dans leur nouveau modèle de TIE : le TIE intercepteur.	Acquisition de cible	Concentration	Évasion	Tonneau	Missile	Modification	Titre									
Empire	Normal	Chasseur avancé TIE X1	False	Pilote de l'escadron Storm	23	4	2	3	3	2	0		Le TIE Advanced est une version améliorée du célèbre chasseur TIE/In disposant de boucliers, d'un meilleur système d'armement, de panneaux solaires incurvés et d'un hyperdrive.	Acquisition de cible	Concentration	Évasion	Tonneau	Missile	Modification	Titre									
Empire	Normal	Chasseur avancé TIE X1	True	Lieutenant Colzet	23	3	2	3	3	2	0	Au début de la phase de dénouement, vous pouvez utiliser une acquisition de cible que vous possédez sur un vaisseau ennemi pour retourner aléatoirement une carte de dégât face cachée qui lui est assignée.		Acquisition de cible	Concentration	Évasion	Tonneau	Missile	Modification	Titre									
Empire	Normal	Chasseur avancé TIE X1	True	Commandant Alozen	25	5	2	3	3	2	0	Au début de la phase de combat, vous pouvez verrouiller un vaisseau ennemi situé à portée 1.		Acquisition de cible	Concentration	Évasion	Tonneau	Missile	Modification	Talent	Titre								
Empire	Normal	Chasseur avancé TIE X1	True	Zertik Strom	26	6	2	3	3	2	0	Les vaisseaux ennemis situés à portée 1 ne peuvent pas ajouter leur bonus de portée quand ils attaquent.		Acquisition de cible	Concentration	Évasion	Tonneau	Missile	Modification	Talent	Titre								
Empire	Normal	Chasseur avancé TIE X1	True	Maarek Stele	27	7	2	3	3	2	0	Si votre attaque se solde par une carte de dégâts face visible pour le défenseur, piochez trois cartes de dégâts, choisissez-en une que vous lui infligez, et défaussez les autres.		Acquisition de cible	Concentration	Évasion	Tonneau	Missile	Modification	Talent	Titre								
Empire	Normal	Chasseur avancé TIE X1	True	Juno Eclipse	28	8	2	3	3	2	0	Quand vous révélez votre manoeuvre, vous pouvez augmenter ou diminuer de 1 sa vitesse (jusqu'à un minimum de 1).		Acquisition de cible	Concentration	Évasion	Tonneau	Missile	Modification	Talent	Titre								
Empire	Normal	Chasseur avancé TIE X1	True	Dark Vador	29	9	2	3	3	2	0	Vous pouvez effectuer deux actions lors de l'étape "Effectuer une action".		Acquisition de cible	Concentration	Évasion	Tonneau	Missile	Modification	Talent	Titre								
Empire	Normal	Chasseur fantôme TIE	False	Pilote de l'escadron Sigma	25	3	4	2	2	2	0		Avec le TIE fantôme, conçu dans un centre de recherches secret sur Imdaar Alpha, la flotte impériale disposait d'un petit chasseur furtif.	Concentration	Évasion	Occultation	Tonneau	Canon	Equipage	Modification	Titre								
Empire	Normal	Chasseur fantôme TIE	False	Pilote de l'escadron Ombre	27	5	4	2	2	2	0		Equipé d'un hyperdrive et de boucliers, le TIE fantôme disposait également de cinq canons laser qui lui conféraient une puissance de feu inouïe pour un chasseur impérial de si petite taille.	Concentration	Évasion	Occultation	Tonneau	Canon	Equipage	Modification	Titre								
Empire	Normal	Chasseur fantôme TIE	True	"Echo"	30	6	4	2	2	2	0	Quand vous vous désoccultez, vous devez utiliser le gabarit de "virage sur l'aile 2" à la place du gabarit "en avant 2".		Concentration	Évasion	Occultation	Tonneau	Canon	Equipage	Modification	Talent	Titre							
Empire	Normal	Chasseur fantôme TIE	True	"Whisper"	32	7	4	2	2	2	0	Après avoir effectué une attaque qui touche, vous pouvez assigner un marqueur de concentration à votre vaisseau.		Concentration	Évasion	Occultation	Tonneau	Canon	Equipage	Modification	Talent	Titre							
Empire	Normal	Défenseur TIE	False	Pilote de l'escadron Delta	30	1	3	3	3	3	0		En plus de ses quatre canons laser et de ses lance-missiles, le défenseur TIE était équipé de canons ioniques placés sur son aile supérieure.	Acquisition de cible	Concentration	Tonneau		Canon	Missile	Modification	Titre								
Empire	Normal	Défenseur TIE	False	Pilote de l'escadron Onyx	32	3	3	3	3	3	0		Le défenseur TIE surclassait tous les chasseurs de son temps, mais sa taille et son arsenal augmentaient considérablement son poids et son coût.	Acquisition de cible	Concentration	Tonneau		Canon	Missile	Modification	Titre								
Empire	Normal	Défenseur TIE	True	Colonel Vessery	35	6	3	3	3	3	0	Quand vous attaquez, juste après avoir lancé les dés d'attaque, vous pouvez verrouiller le défenseur s'il a déjà un marqueur d'acquisition de cible rouge.		Acquisition de cible	Concentration	Tonneau		Canon	Missile	Modification	Talent	Titre							
