Type d'amélioration	Nom	Coût	Description	Personnage unique concerné	Limité à un seul exemplaire par vaisseau	Restreint à un camp	Restreint à un vaisseau	Taille minimale autorisée	Taille maximale autorisée
Modification	Moteurs améliorés	4	Votre barre d'action gagne l'icône d'action d'accélération.		False				
Modification	Munitions à sûreté intégrée	1	Quand vous attaquez avec une arme secondaire qui vous demande de la défausser pour effectuer cette attaque, défaussez-la seulement si l'attaque touche.		False				
Modification	Ordinateur de visée	2	Votre barre d'action gagne l'icône d'action d'acquisition de cible.		False				
Modification	Préparé pour le combat	10	Augmentez votre valeur de coque de 2 et votre valeur de boucliers de 1.		False		Transport moyen GR-75		
Modification	Système d'occultation	3	Augmentez votre valeur d'agilité de 1. Si une attaque vous touche, défaussez cette carte.		False				
Modification	Système d'occultation avancé	4	Après avoir effectué une attaque, vous pouvez effectuer une action d'occultation gratuite.		False		Chasseur fantôme TIE		
Senseur	Brouilleur de senseurs	4	Quand vous vous défendez, vous pouvez charger un des résultats de touche normale de l'attaquant en résultat de concentration. L'attaquant ne peut pas relancer le dé au résultat modifié de la sorte.		False				
Senseur	Radars améliorés	1	Durant la phase d'activation, considérez que votre valeur de pilotage est égale à 0.		False				
Senseur	Senseurs avancés	3	Juste avant de révéler votre manœuvre, vous pouvez effectuer une action gratuite. Si vous utilisez cette capacité, vous devez passer l'étape "Effectuer une action" ce tour-ci.		False				
Senseur	Système de commande de tir	2	Après avoir effectué une attaque, vous pouvez verrouiller le défenseur.		False				
Talent	Adresse au tir	3	Nouvelle action disponible : en attaquant ce tour-ci, vous pouvez échanger un de vos résultats de concentration contre un résultat de touche critique, et tous vos autres résultats de concentration contre des résultats de touche normale.		False				
Talent	As de l'espace	2	Nouvelle action disponible : effectuez une action gratuite de tonneau. Si vous n'avez pas l'icône d'action de tonneau, recevez un marqueur de stress. Ensuite, vous pouvez retirer une acquisition de cible ennemie de votre vaisseau.		False				
Talent	Chef d'escouade	2	Nouvelle action disponible : choisissez un vaisseau situé à portée comprise entre 1 et 2 dont la valeur de pilotage est inférieure à la vôtre. Ce vaisseau peut aussitôt effectuer une action gratuite.		False				
Talent	Détermination	1	Quand vous recevez une carte de dégâts face visible assortie du trait "Pilote", défaussez-là aussitôt (sans résoudre sa capacité).		False				
Talent	Insaisissable	2	Quand vous vous défendez, vous pouvez recevoir un marqueur de stress pour choisir un dé d'attaque. L'attaquant doit relancer ce dé. Si vous avez au moins un marqueur de stress, vous ne pouvez pas utiliser cette capacité.		False				
Talent	Instinct de vétéran	1	Augmentez votre valeur de pilotage de 2.		False				
Talent	Je les attire !	1	Quand un vaisseau allié située à une portée 1 est touché par une attaque, vous pouvez subir un des résultats de touche critique non annulés à la place de l'appareil visé.		False				
Talent	Loup solitaire	2	Quand vous attaquez ou défendez, s'il n'y a pas de vaisseaux alliés à portée comprise entre 1 et 2, vous pouvez relancer un de vos résultats vierges.		False				
Talent	Manœuvre improbable	3	Quand vous attaquez un vaisseau situé dans votre arc de tir, si vous n'êtes pas dans l'arc de tir de ce vaisseau, réduisez sa valeur d'agilité de 1 (jusqu'à un minimum de 0).		False				
Talent	Montée d'adrénaline	1	Quand vous révélez une manœuvre rouge, vous pouvez défausser cette carte pour traiter cette manœuvre comme une manœuvre blanche jusqu'à la fin de la phase d'activation.		False				
Talent	Opportuniste	4	Quand vous attaquez, si le défenseur n'a pas de marqueur de concentration ou d'évasion, vous pouvez recevoir un marqueur de stress pour lancer un dé d'attaque supplémentaire. Vous ne pouvez pas utiliser cette capacité si vous avez au moins un marqueur de stress.		False				
Talent	Prédateur	3	Quand vous attaquez, vous pouvez relancer un dé d'attaque. Si la valeur de pilotage du défenseur est de 2 ou moins, vous pouvez relancer jusqu'à deux dés d'attaque à la place.		False				
Talent	Prise de risque	4	Nouvelle action disponible : jusqu'à la fin du tour, augmentez votre valeur d'arme principale de 1 et réduisez votre valeur d'agilité de 1.		False				
Talent	Repousser les limites	3	Une fois par tour, après avoir effectué une action, vous pouvez effectuer une action gratuite figurant dans votre barre d'action. Recevez ensuite un marqueur de stress.		False				
Talent	Restez en ligne	2	Quand vous révélez une manœuvre, vous pouvez tourner votre cadran sur une autre manœuvre ayant la même vitesse. Traitez cette manœuvre comme une manœuvre rouge.		False				
Talent	Tactique de nuée	2	Au début de la phase de combat, choisissez un vaisseau allié située à portée 1. Jusqu'à la fin de cette phase, considérez que la valeur de pilotage du vaisseau en question est égale à la vôtre.		False				
Titre	Bright Hope	5	Votre valeur maximale en énergie est augmentée de 2. Un marqueur de renforcement assigné à votre proue ajoute deux résultats d'évasion (au lieu d'un seul).	"Bright Hope"	False		Transport moyen GR-75		
Titre	Dutyfree	2	Quand vous effectuez une action de brouillage, vous pouvez choisir un vaisseau ennemi situé à portée comprise entre 1 et 3 (au lieu de portée comprise entre 1 et 2).	"Dutyfree"	False				
Titre	Faucon Millenium	1	Votre barre d'action gagne l'icône d'action d'évasion.	"Faucon Millenium"	False		YT-1300		
Titre	Outrider	5	Tant que vous êtes équipé d'une carte d'amélioration "Canon", vous ne pouvez pas effectuer d'attaques d'arme principale, et vous pouvez effectuer des attaques d'arme secondaire "Canon" contre des vaisseaux situés en dehors de votre arc de tir.	"Outrider"	False		YT-2400		
Titre	Pilote d'essai sur A-wing	0	Votre bandeau d'amélioration gagne une icône d'amélioration "Talent". Vous ne pouvez pas équiper deux cartes d'amélioration "Talent" identiques. Vous ne pouvez pas vous équiper de cette carte si votre valeur de pilotage est de 1 ou moins.		False		A-wing		
Titre	Quantum Storm	4	Votre valeur maximale en énergie est augmentée de 1. Au début de la phase dénouement, si vous avez un marqueur d'énergie ou moins, vous gagnez un marqueur d'énergie.	"Quantum Storm"	False		Transport moyen GR-75		
Titre	Slave One	0	Votre barre d'action gagne l'icône d'action "Torpilles".	"Slave One"	False		Firespray-31		
Titre	ST-321	3	Quand vous verrouillez une cible, vous pouvez verrouiller n'importe quel vaisseau ennemi situé dans la zone de jeu.	"ST-321"	False		Navette de classe Lambda		
Titre	TIE de la Garde royale	0	Vous pouvez vous équiper de deux améliorations "Modification" différentes (au lieu d'une seule de ce type). Cette carte ne peut pas équiper un vaisseau dont la valeur de pilotage est de 4 ou moins.		False		Intercepteur TIE		
Torpille	Torpilles à proton	4	Nouvelle attaque secondaire disponible sur cible en acquisition : utilisez votre acquisition de cible et défaussez cette carte pour effectuer cette attaque. Vous pouvez échanger un de vos résultats de concentration contre un résultat de touche critique.		False				
Torpille	Torpilles à proton avancées	6	Nouvelle attaque secondaire disponible sur cible en acquisition : utilisez votre acquisition de cible et défaussez cette carte pour effectuer cette attaque. Vous pouvez échanger jusqu'à trois de vos résultats vierges contre autant de résultats de concentration.		False				
Torpille	Torpilles fléchettes	2	Nouvelle attaque secondaire disponible sur cible en acquisition : utilisez votre acquisition de cible et défaussez cette carte pour effectuer cette attaque. Après que vous avez effectué cette attaque, le défenseur reçoit un marqueur de stress si sa valeur de coque est de 4 ou moins.		False				
Tourelle	Tourelle à canons ioniques	5	Nouvelle attaque secondaire disponible : attaquez un vaisseau (même s'il se situe en dehors de votre arc de tir). Si cette attaque touche, le défenseur subit un dégât et reçoit un marqueur ionique. Ensuite, annulez tous les résultats des dés.		False				
